# Times series data
0	1.3464	1.3464	0	1.16034
1	1.3463	1.34639	0	1.13096
17	1.3462	1.34637	0	1.10233
23	1.3463	1.34636	0	1.07442
46	1.3464	1.34637	0	1.04721
51	1.3465	1.34638	0	1.0207
68	1.3464	1.34638	0	0.994851
74	1.3465	1.34639	0	0.96966
84	1.3466	1.34641	0	0.945108
104	1.3465	1.34642	0	0.921177
156	1.3464	1.34642	0	0.897853
198	1.3465	1.34643	0	0.875119
202	1.3466	1.34645	0	0.85296
250	1.3467	1.34647	0	0.831363
279	1.3468	1.3465	0	0.810312
281	1.3468	1.34653	0	0.789794
285	1.3469	1.34657	0	0.769796
302	1.347	1.34661	0	0.750305
310	1.3471	1.34666	0	0.731307
320	1.3472	1.34672	0	0.71279
327	1.3473	1.34677	0	0.694741
328	1.3472	1.34682	0	0.67715
329	1.3473	1.34687	0	0.660004
330	1.3474	1.34692	0	0.643293
334	1.3473	1.34696	0	0.627004
336	1.3474	1.347	0	0.611128
345	1.3476	1.34706	0	0.595654
368	1.3475	1.3471	0	0.580572
371	1.3476	1.34715	0	0.565871
381	1.3477	1.34721	1.34688	0.551543
388	1.3476	1.34725	1.34692	0.537578
392	1.3475	1.34727	1.34696	0.523966
402	1.3476	1.34731	1.34701	0.510699
403	1.3475	1.34733	1.34705	0.497768
407	1.3474	1.34733	1.34708	0.485164
413	1.3473	1.34733	1.34711	0.472879
415	1.3474	1.34734	1.34714	0.460906
483	1.3475	1.34735	1.34717	0.449235
484	1.3476	1.34738	1.34721	0.43786
488	1.3477	1.34741	1.34725	0.426774
489	1.3476	1.34743	1.34729	0.415967
526	1.3475	1.34744	1.34732	0.405435
533	1.3474	1.34743	1.34735	0.395169
539	1.3473	1.34742	1.34737	0.385163
542	1.3474	1.34742	1.34739	0.375411
549	1.3475	1.34743	1.34741	0.365905
558	1.3476	1.34744	1.34743	0.35664
570	1.3475	1.34745	1.34745	0.34761
574	1.3474	1.34744	1.34746	0.338808
584	1.3475	1.34745	1.34747	0.330229
601	1.3474	1.34744	1.34747	0.321868
617	1.3475	1.34745	1.34748	0.313718
624	1.3476	1.34747	1.34749	0.305774
638	1.3477	1.34749	1.3475	0.298032
649	1.3478	1.34752	1.34752	0.290486
676	1.3479	1.34756	1.34754	0.28313
