"date","close","volume","open","high","low"

"2013/05/17","111.3900","4060681.0000","111.1600","111.7800","110.9400"
"2013/05/16","111.0700","2685808.0000","111.2100","111.7000","110.9500"
"2013/05/15","111.5000","2912537.0000","110.4000","111.7150","110.2900"
"2013/05/14","110.5900","2482692.0000","110.3200","110.7900","110.2700"
"2013/05/13","110.5000","2045328.0000","109.9900","110.7200","109.7100"
"2013/05/10","110.4800","2993677.0000","110.0800","110.6400","109.7500"
"2013/05/09","109.9200","4486923.0000","108.1100","110.5100","108.1100"
"2013/05/08","108.2000","2654353.0000","108.0300","108.2900","107.7700"
"2013/05/07","108.0100","2235501.0000","107.6100","108.3710","107.5500"
"2013/05/06","107.8400","2174314.0000","107.6300","107.9900","107.4500"
"2013/05/03","107.8300","3013051.0000","106.9600","108.6000","106.8500"
"2013/05/02","106.0400","3120040.0000","105.0400","106.3750","104.9100"
"2013/05/01","104.5500","3258868.0000","104.7800","105.1200","104.4200"
"2013/04/30","104.7100","3769701.0000","103.9800","104.7400","102.9700"
"2013/04/29","103.8300","2903008.0000","103.9100","104.2000","102.8900"
"2013/04/26","103.7900","3359384.0000","104.9700","105.1800","103.4600"
"2013/04/25","104.8800","9026891.0000","104.4600","105.6400","103.5000"
"2013/04/24","107.8700","3238113.0000","107.6100","108.1500","107.2400"
"2013/04/23","107.3900","3209753.0000","106.2400","107.5100","105.8600"
"2013/04/22","105.8000","2646729.0000","105.7100","106.1000","105.1400"
"2013/04/19","105.7100","3323701.0000","105.3100","105.8800","104.8200"
"2013/04/18","104.9800","3144693.0000","105.8400","105.9700","104.2800"
"2013/04/17","105.4800","3155340.0000","105.4700","105.8000","104.9300"
"2013/04/16","106.1500","2636835.0000","106.6900","106.8500","105.7001"
"2013/04/15","105.7600","3677319.0000","107.1500","107.9100","105.7400"
"2013/04/12","107.6800","2111387.0000","107.8900","108.2699","107.3100"
"2013/04/11","108.2500","2137977.0000","107.8600","108.7200","107.8600"
"2013/04/10","107.6900","3262930.0000","106.0900","107.9300","106.0280"
"2013/04/09","105.9500","2370519.0000","106.0000","106.6900","105.3900"
"2013/04/08","105.7500","1947664.0000","105.8600","106.4200","105.1000"
"2013/04/05","105.7800","2477762.0000","104.4500","105.8750","104.3500"
"2013/04/04","105.8200","1771217.0000","105.8200","106.2200","105.3000"
"2013/04/03","105.6800","3278409.0000","106.6000","106.9700","105.4300"
"2013/04/02","106.5200","2097792.0000","105.8000","106.8000","105.7900"
"2013/04/01","105.6500","1685379.0000","106.0000","106.1700","105.4200"
"2013/03/28","106.3100","2276617.0000","105.6700","106.3400","105.2800"
"2013/03/27","105.2900","2129667.0000","105.3500","105.5000","104.9700"
"2013/03/26","106.0700","1893455.0000","105.4100","106.2250","105.4100"
"2013/03/25","105.1700","3739146.0000","106.5300","106.8000","104.6800"
"2013/03/22","106.4200","2397904.0000","105.1000","106.4850","105.1000"
"2013/03/21","104.9400","1937925.0000","105.3900","105.4619","104.7200"
"2013/03/20","105.6600","1799845.0000","105.9100","106.1700","105.3800"
"2013/03/19","105.1800","3211336.0000","105.8300","105.9800","104.6400"
"2013/03/18","105.4100","1811381.0000","105.2300","105.9600","105.2200"
"2013/03/15","106.4000","5149251.0000","105.9000","106.8800","105.8510"
"2013/03/14","106.0200","2207208.0000","105.3300","106.0200","105.2600"
"2013/03/13","105.0900","2059778.0000","105.1300","105.5700","104.8800"
"2013/03/12","105.1300","2226679.0000","105.8200","105.9800","104.9600"
"2013/03/11","105.8100","1721231.0000","105.3300","105.9550","105.3300"
"2013/03/08","105.7100","2358400.0000","105.0000","105.8100","104.8250"
"2013/03/07","104.5400","1876432.0000","104.8000","105.1550","104.4900"
"2013/03/06","104.6600","3470236.0000","104.7300","105.4200","104.4700"
"2013/03/05","104.4500","2632138.0000","103.7600","104.8100","103.6500"
"2013/03/04","103.2800","2565448.0000","103.5100","103.5100","102.5900"
"2013/03/01","103.7700","2660845.0000","103.3900","103.9400","102.7200"
"2013/02/28","104.0000","2871517.0000","103.6000","104.5600","103.1400"
"2013/02/27","103.5700","2353996.0000","102.1000","103.9300","101.9500"
"2013/02/26","102.3100","2472815.0000","102.1100","102.6600","101.9100"
"2013/02/25","101.7500","3022232.0000","103.9100","104.0400","101.7500"
"2013/02/22","103.5400","2158013.0000","102.9900","103.7000","102.8200"
"2013/02/21","102.7200","2758728.0000","102.8800","103.1400","102.3900"
"2013/02/20","103.1500","2996992.0000","104.1800","104.4000","103.1500"
"2013/02/19","104.1800","2988487.0000","103.4200","104.3916","103.3200"
